rsid,Magnitude,Repute,Summary
Rs121909343(T;T),0,Good,common in complete genomics
Rs121909344(C;C),0,Good,common in complete genomics
Rs121909345(G;G),0,Good,common in complete genomics
Rs121909346(A;A),0,Good,common in clinvar
Rs121909347(G;G),0,Good,common in clinvar
Rs121909348(T;T),0,Good,common in clinvar
Rs121909349(T;T),0,Good,common in clinvar
Rs121909350(G;G),0,Good,common in clinvar
Rs121909351(C;C),0,Good,common in clinvar
Rs121909352(C;C),0,Good,common in clinvar
Rs121909353(A;A),0,Good,common in clinvar
Rs121909354(G;G),0,Good,common in clinvar
Rs121909355(A;A),0,Good,common in clinvar
Rs121909356(C;C),0,Good,common in clinvar
Rs121909357(T;T),0,Good,common in clinvar
Rs121909358(C;C),0,Good,common in clinvar
Rs121909359(C;C),0,Good,common in clinvar
Rs121909360(A;A),0,Good,common in clinvar
Rs121909361(G;G),0,Good,common in clinvar
Rs121909362(C;C),0,Good,common in clinvar
Rs121909363(C;C),0,Good,common in clinvar
Rs121909364(G;G),0,Good,common in clinvar
Rs121909365(C;C),0,Good,common in clinvar
Rs121909366(G;G),0,Good,common in clinvar
Rs121909367(T;T),0,Good,common in clinvar
Rs121909368(A;A),0,Good,common in clinvar
Rs121909369(T;T),0,Good,common in clinvar
Rs121909370(G;G),0,Good,common in clinvar
Rs121909371(C;C),0,Good,common in clinvar
Rs121909372(G;G),0,Good,common in clinvar
Rs121909373(T;T),0,Good,common in clinvar
Rs121909374(G;G),0,Good,common in clinvar
Rs121909375(A;A),0,Good,common in clinvar
Rs121909376(A;A),0,Good,common in clinvar
Rs121909377(G;G),0,Good,common in clinvar
Rs121909378(G;G),0,Good,common in clinvar
Rs121909379(T;T),0,Good,common in clinvar
Rs121909380(G;G),0,Good,common in clinvar
Rs121909381(G;G),0,Good,common in clinvar
Rs121909382(C;C),0,Good,common in clinvar
Rs121909383(C;C),0,Good,common in clinvar
Rs121909384(G;G),0,Good,common in clinvar
Rs121909385(T;T),0,Good,common in clinvar
Rs121909386(C;C),0,Good,common in clinvar
Rs121909387(G;G),0,Good,common in clinvar
Rs121909388(C;C),0,Good,common in clinvar
Rs121909389(G;G),0,Good,common in clinvar
Rs121909390(C;C),0,Good,common in clinvar
Rs121909391(C;C),0,Good,common in clinvar
Rs121909392(G;G),0,Good,common in clinvar
Rs121909393(G;G),0,Good,common in clinvar
Rs121909394(T;T),0,Good,common in clinvar
Rs121909395(T;T),0,Good,common in clinvar
Rs121909396(A;A),0,Good,common in clinvar
Rs121909397(C;C),0,Good,common in clinvar
Rs121909398(C;C),0,Good,common in clinvar
Rs121909484(T;T),0,Good,common in clinvar
Rs121909485(C;C),0,Good,common in clinvar
Rs121909486(C;C),0,Good,common in clinvar
Rs121909487(C;C),0,Good,common in clinvar
Rs121909488(G;G),0,Good,common in clinvar
Rs121909489(C;C),0,Good,common in clinvar
Rs121909490(C;C),0,Good,common in clinvar
Rs121909491(G;G),0,Good,common in clinvar
Rs121909492(C;C),0,Good,common in clinvar
Rs121909493(G;G),0,Good,common in clinvar
Rs121909494(C;C),0,Good,common in clinvar
Rs121909495(C;C),0,Good,common in clinvar
Rs121909496(G;G),0,Good,common in clinvar
Rs121909497(T;T),0,Good,common in clinvar
Rs121909498(T;T),0,Good,common in clinvar
Rs121909499(T;T),0,Good,common in clinvar
Rs121909500(C;C),0,Good,common in clinvar
Rs121909501(C;C),0,Good,common in clinvar
Rs121909502(C;C),0,Good,common in clinvar
Rs121909503(C;C),0,Good,common in clinvar
Rs121909504(G;G),0,Good,common in clinvar
Rs121909505(G;G),0,Good,common in clinvar
Rs121909506(T;T),0,Good,common in clinvar
Rs121909507(C;C),0,Good,common in clinvar
Rs121909508(T;T),0,Good,common in clinvar
Rs121909509(T;T),0,Good,common in clinvar
Rs121909510(A;A),0,Good,common in clinvar
Rs121909511(C;C),0,Good,common in clinvar
Rs121909512(C;C),0,Good,common in clinvar
Rs121909513(C;C),0,Good,common in clinvar
Rs121909514(G;G),0,Good,common in clinvar
Rs121909515(C;C),0,Good,common in clinvar
Rs121909516(C;C),0,Good,common in clinvar
Rs121909517(G;G),0,Good,common in clinvar
Rs121909518(G;G),0,Good,common in clinvar
Rs121909519(T;T),0,Good,common in clinvar
Rs121909519(C;C),4,Bad,Nemaline Myopathy 3
Rs121909520(A;A),0,Good,common in clinvar
Rs121909520(G;G),4,Bad,Nemaline Myopathy 3
Rs121909521(G;G),0,Good,common in clinvar
Rs121909521(C;C),4,,Nemaline Myopathy 3
Rs121909522(G;G),0,Good,common in clinvar
Rs121909522(T;T),4,Bad,Nemaline Myopathy 3
Rs121909523(A;A),0,Good,common in clinvar
Rs121909523(T;T),4,Bad,Nemaline Myopathy 3
Rs121909524(A;A),0,Good,common in clinvar
Rs121909524(C;C),4,Bad,Nemaline Myopathy 3
Rs121909525(G;G),0,Good,common in clinvar
Rs121909525(T;T),4,Bad,Nemaline Myopathy 3
Rs121909526(C;C),0,Good,common in clinvar
Rs121909526(G;G),4,Bad,Nemaline Myopathy 3
Rs121909527(G;G),0,Good,common in clinvar
Rs121909527(T;T),4,Bad,Nemaline Myopathy 3
Rs121909528(A;A),0,Good,common in clinvar
Rs121909528(C;C),4,Bad,Nemaline Myopathy 3
Rs121909529(A;A),0,Good,common in clinvar
Rs121909529(T;T),4,Bad,Nemaline Myopathy 3
Rs121909530(T;T),0,Good,common in clinvar
Rs121909530(C;C),4,Bad,Nemaline Myopathy 3
Rs121909531(C;C),0,Good,common in clinvar
Rs121909531(T;T),4,Bad,Nemaline Myopathy 3
Rs121909532(G;G),0,Good,common in clinvar
Rs121909532(A;A),4,Bad,Nemaline Myopathy 3
Rs121909533(A;A),0,Good,common in clinvar
Rs121909534(G;G),0,Good,common in clinvar
Rs121909535(A;A),0,Good,common in clinvar
Rs121909536(A;A),0,Good,common in clinvar
Rs121909537(A;A),0,Good,common in clinvar
Rs121909538(G;G),0,Good,common in clinvar
Rs121909539(C;C),0,Good,common in clinvar
Rs121909540(A;A),0,Good,common in clinvar
Rs121909541(A;A),0,Good,common in clinvar
Rs121909542(G;G),0,Good,common in clinvar
Rs121909543(C;C),0,Good,common in clinvar
Rs121909544(G;G),0,Good,common in clinvar
Rs121909545(C;C),0,Good,common in clinvar
Rs121909546(G;G),0,Good,common in clinvar
Rs121909547(C;C),0,Good,common in clinvar
Rs121909548(G;G),0,Good,common in clinvar
Rs121909549(G;G),0,Good,common in clinvar
Rs121909550(C;C),0,Good,common in clinvar
Rs121909551(C;C),0,Good,common in clinvar
Rs121909552(G;G),0,Good,common in clinvar
Rs121909553(C;C),0,Good,common in clinvar
Rs121909554(C;C),0,Good,common in clinvar
Rs121909555(C;C),0,Good,common in clinvar
Rs121909556(G;G),0,Good,common in clinvar
Rs121909557(G;G),0,Good,common in clinvar
Rs121909558(T;T),0,Good,common in clinvar
Rs121909560(AG;AG),0,Good,common in clinvar
Rs121909561(GATG;GATG),0,Good,common in clinvar
Rs121909562(C;C),0,Good,common in clinvar
Rs121909563(G;G),0,Good,common in clinvar
Rs121909564(C;C),0,Good,common in clinvar
Rs121909565(T;T),0,Good,common in clinvar
Rs121909566(G;G),0,Good,common in clinvar
Rs121909567(C;C),0,Good,common in clinvar
Rs121909567(T;T),6,Bad,Antithrombin III deficiency
Rs121909568(C;C),0,Good,common in clinvar
Rs121909569(T;T),0,Good,common in clinvar
Rs121909570(A;A),0,Good,common in clinvar
Rs121909571(A;A),0,Good,common in clinvar
Rs121909572(T;T),0,Good,common in clinvar
Rs121909573(T;T),0,Good,common in clinvar
Rs121909574(A;A),0,Good,common in clinvar
Rs121909575(G;G),0,Good,common in clinvar
Rs121909576(G;G),0,Good,common in clinvar
Rs121909577(G;G),0,Good,common in clinvar
Rs121909578(G;G),0,Good,common in clinvar
Rs121909579(G;G),0,Good,common in clinvar
Rs121909580(C;C),0,Good,common in clinvar
Rs121909581(C;C),0,Good,common in clinvar
Rs121909582(C;C),0,Good,common in clinvar
Rs121909583(G;G),0,Good,common genotype
Rs121909584(C;C),0,Good,common genotype
Rs121909585(G;G),0,Good,common genotype
Rs121909586(C;C),0,Good,common genotype
Rs121909587(C;C),0,Good,common in clinvar
Rs121909588(C;C),0,Good,common in clinvar
Rs121909589(T;T),0,Good,common genotype
Rs121909590(C;C),0,Good,common genotype
Rs121909592(C;C),0,Good,common in clinvar
Rs121909593(T;T),0,Good,common in clinvar
Rs121909594(C;C),0,Good,common in clinvar
Rs121909595(C;C),0,Good,common in clinvar
Rs121909596(G;G),0,Good,common in clinvar
Rs121909597(C;C),0,Good,common in clinvar
Rs121909598(G;G),0,Good,common in clinvar
Rs121909599(G;G),0,Good,common in clinvar
Rs121909600(A;A),0,Good,common in clinvar
Rs121909601(G;G),0,Good,common in clinvar
Rs121909602(G;G),0,Good,common in clinvar
Rs121909603(G;G),0,Good,common in clinvar
Rs121909604(G;G),0,Good,common in clinvar
Rs121909605(G;G),0,Good,common in clinvar
Rs121909606(C;C),0,Good,common in clinvar
Rs121909607(G;G),0,Good,common in clinvar
Rs121909608(A;A),0,Good,common in clinvar
Rs121909609(C;C),0,Good,common in clinvar
Rs121909610(G;G),0,Good,common in clinvar
Rs121909611(A;A),0,Good,common in clinvar
Rs121909612(A;A),0,Good,common in clinvar
Rs121909613(C;C),0,Good,common in clinvar
Rs121909614(T;T),0,Good,common in clinvar
Rs121909615(C;C),0,Good,common in clinvar
Rs121909616(C;C),0,Good,common in clinvar
Rs121909617(G;G),0,Good,common in clinvar
Rs121909618(G;G),0,Good,common in clinvar
Rs121909619(C;C),0,Good,common in clinvar
Rs121909620(G;G),0,Good,common in clinvar
Rs121909621(T;T),0,Good,common in clinvar
Rs121909622(G;G),0,Good,common in clinvar
Rs121909623(C;C),0,Good,common in clinvar
Rs121909624(T;T),0,Good,common in clinvar
Rs121909625(C;C),0,Good,common in clinvar
Rs121909626(C;C),0,Good,common in clinvar
Rs121909627(C;C),0,Good,common in clinvar
Rs121909628(C;C),0,Good,common in clinvar
Rs121909629(G;G),0,Good,common in clinvar
Rs121909630(G;G),0,Good,common in clinvar
Rs121909631(A;A),0,Good,common in clinvar
Rs121909632(A;A),0,Good,common in clinvar
Rs121909633(T;T),0,Good,common in clinvar
Rs121909634(T;T),0,Good,common in clinvar
Rs121909635(G;G),0,Good,common in clinvar
Rs121909636(C;C),0,Good,common in clinvar
Rs121909637(G;G),0,Good,common in clinvar
Rs121909638(T;T),0,Good,common in clinvar
Rs121909639(C;C),0,Good,common in clinvar
Rs121909640(G;G),0,Good,common in clinvar
Rs121909641(C;C),0,Good,common in clinvar
Rs121909642(C;C),0,Good,common in clinvar
Rs121909643(G;G),0,Good,common in clinvar
Rs121909644(G;G),0,Good,common in clinvar
Rs121909645(G;G),0,Good,common in clinvar
Rs121909646(A;A),0,Good,common in clinvar
Rs121909650(G;G),0,Good,common in clinvar
Rs121909651(T;T),0,Good,common in clinvar
Rs121909652(C;C),0,Good,common in clinvar
Rs121909653(A;A),0,Good,common in clinvar
Rs121909654(G;G),0,Good,common in clinvar
Rs121909655(T;T),0,Good,common in clinvar
Rs121909656(G;G),0,Good,common in clinvar
Rs121909657(G;G),0,Good,common in clinvar
Rs121909658(C;C),0,Good,common in clinvar
Rs121909659(T;T),0,Good,common in clinvar
Rs121909660(C;C),0,Good,common in clinvar
Rs121909661(G;G),0,Good,common in clinvar
Rs121909662(C;C),0,Good,common in clinvar
Rs121909663(A;A),0,Good,common in clinvar
Rs121909664(T;T),0,Good,common in clinvar
Rs121909665(C;C),0,Good,common in clinvar
Rs121909666(C;C),0,Good,common in clinvar
Rs121909667(C;C),0,Good,common in clinvar
Rs121909667(G;G),6,Bad,Causing ALS AMYOTROPHIC LATERAL SCLEROSIS
Rs121909668(C;C),0,Good,common in clinvar
Rs121909669(G;G),0,Good,common in clinvar
Rs121909670(C;C),0,Good,common in clinvar
Rs121909671(G;G),0,Good,common in clinvar
Rs121909672(A;A),0,Good,common in clinvar
Rs121909673(G;G),0,Good,common genotype
Rs121909674(C;C),0,Good,common in clinvar
Rs121909675(T;T),0,Good,common in clinvar
Rs121909676(G;G),0,Good,common in clinvar
Rs121909677(T;T),0,Good,common in clinvar
Rs121909678(G;G),0,Good,common in clinvar
Rs121909679(G;G),0,Good,common in clinvar
Rs121909680(C;C),0,Good,common in clinvar
Rs121909681(C;C),0,Good,common in clinvar
Rs121909682(G;G),0,Good,common in clinvar
Rs121909683(G;G),0,Good,common in clinvar
Rs121909684(C;C),0,Good,common in clinvar
Rs121909715(G;G),0,Good,common in clinvar
Rs121909716(G;G),0,Good,common in clinvar
Rs121909717(C;C),0,Good,common in clinvar
Rs121909718(G;G),0,Good,common in clinvar
Rs121909719(G;G),0,Good,common in clinvar
Rs121909720(C;C),0,Good,common in clinvar
Rs121909721(G;G),0,Good,common in clinvar
Rs121909722(C;C),0,Good,common in clinvar
Rs121909723(C;C),0,Good,common in clinvar
Rs121909724(G;G),0,Good,common in clinvar
Rs121909725(G;G),0,Good,common in clinvar
Rs121909726(A;A),0,Good,common in clinvar
Rs121909727(T;T),0,Good,common in clinvar
Rs121909730(C;C),0,Good,common in clinvar
Rs121909731(C;C),0,Good,common in clinvar
Rs121909732(T;T),0,Good,common in clinvar
Rs121909733(G;G),0,Good,common in clinvar
Rs121909734(G;G),0,Good,common in clinvar
Rs121909735(A;A),0,Good,common in clinvar
Rs121909736(G;G),0,Good,common in clinvar
Rs121909737(G;G),0,Good,common in clinvar
Rs121909739(G;G),0,Good,common in clinvar
Rs121909740(G;G),0,Good,common in clinvar
Rs121909741(G;G),0,Good,common in clinvar
Rs121909742(C;C),0,Good,common in clinvar
Rs121909743(C;C),0,Good,common in clinvar
Rs121909744(C;C),0,Good,common in clinvar
Rs121909745(G;G),0,Good,common in clinvar
Rs121909746(C;C),0,Good,common in clinvar
Rs121909747(T;T),0,Good,common in clinvar
Rs121909748(A;A),0,Good,common genotype
Rs121909749(G;G),0,Good,common in clinvar
Rs121909750(A;A),0,Good,common in clinvar
Rs121909752(G;G),0,Good,common in clinvar
Rs121909761(C;C),0,Good,common in clinvar
Rs121909762(C;C),0,Good,common in clinvar
Rs121909763(A;A),0,Good,common in clinvar
Rs121909764(G;G),0,Good,common in clinvar
Rs121909765(C;C),0,Good,common in clinvar
Rs121909766(A;A),0,Good,common in clinvar
Rs121909767(G;G),0,Good,common in clinvar
Rs121909768(G;G),0,Good,common in clinvar
Rs121909770(T;T),0,Good,common in clinvar
Rs121909775(C;C),0,Good,common in clinvar
Rs121909776(T;T),0,Good,common in clinvar
Rs121909790(G;G),0,Good,common in clinvar
Rs121909791(G;G),0,Good,common in clinvar
Rs121909792(C;C),0,Good,common in clinvar
Rs121909793(G;G),0,Good,common in clinvar
Rs121909794(G;G),0,Good,common in clinvar
Rs121909795(C;C),0,Good,common in clinvar
Rs121909796(G;G),0,Good,common in clinvar
Rs121909797(G;G),0,Good,common in clinvar
Rs121909798(C;C),0,Good,common in clinvar
Rs121909799(T;T),0,Good,common in clinvar
Rs121909800(C;C),0,Good,common in clinvar
Rs121909801(C;C),0,Good,common in clinvar
Rs121909802(G;G),0,Good,common in clinvar
Rs121909803(A;A),0,Good,common in clinvar
Rs121912288(C;C),0,Good,common in clinvar
Rs121912292(C;C),0,Good,common in clinvar
Rs121912293(T;T),0,Good,common in clinvar
Rs121912294(CT;CT),0,Good,common in clinvar
Rs121912304(C;C),0,Good,common in clinvar
Rs121912305(A;A),0,Good,common in clinvar
Rs121913286(C;C),0,Good,common in clinvar
Rs121913314(C;C),0,Good,common in clinvar
Rs121913315(G;G),0,Good,common in clinvar
Rs121913323(C;C),0,Good,common in clinvar
Rs121913357(G;G),0,Good,common in clinvar
Rs121913364(A;A),0,Good,common in clinvar
Rs121913369(C;C),0,Good,common in clinvar
Rs121913469(TT;TT),0,Good,common in clinvar
Rs121913477(C;C),0,Good,common in clinvar
Rs121913478(A;A),0,Good,common in clinvar
Rs121913528(G;G),0,Good,common in clinvar
Rs121917702(G;G),0,Good,common on affy axiom data
Rs121917848(T;T),0,Good,common in clinvar
Rs121917890(A;A),0,Good,common in clinvar
Rs121917891(G;G),0,Good,common in clinvar
Rs121917900(G;G),0,Good,common in clinvar
Rs121917901(C;C),0,Good,common in clinvar
Rs121917902(C;C),0,Good,common in clinvar
Rs121917903(C;C),0,Good,common in clinvar
Rs121917904(C;C),0,Good,common in clinvar
Rs121917905(T;T),0,Good,common in clinvar
Rs121917930(T;T),0,Good,common in clinvar
Rs121917953(A;A),0,Good,common in clinvar
Rs121917954(G;G),0,Good,common in clinvar
Rs121917955(C;C),0,Good,common in clinvar
Rs121917999(G;G),0,Good,common in clinvar
Rs121918000(G;G),0,Good,normal
Rs121918000(A;A),4,Bad,hypophosphatasia
Rs121918001(C;C),0,Good,normal
Rs121918001(T;T),4,Bad,hypophosphatasia
Rs121918002(A;A),0,Good,normal
Rs121918002(C;C),4,Bad,hypophosphatasia
Rs121918003(G;G),0,Good,normal
Rs121918003(C;C),4,Bad,hypophosphatasia
Rs121918004(A;A),0,Good,normal
Rs121918004(C;C),4,Bad,hypophosphatasia
Rs121918005(C;C),0,Good,normal
Rs121918005(T;T),4,Bad,hypophosphatasia
Rs121918006(T;T),0,Good,normal
Rs121918006(C;C),4,Bad,hypophosphatasia
Rs121918007(G;G),0,Good,normal
Rs121918007(A;A),4,Bad,hypophosphatasia
Rs121918008(A;A),0,Good,normal
Rs121918008(T;T),4,Bad,hypophosphatasia
Rs121918009(G;G),0,Good,normal
Rs121918009(A;A),4,Bad,hypophosphatasia
Rs121918010(T;T),0,Good,normal
Rs121918010(C;C),4,Bad,hypophosphatasia
Rs121918011(G;G),0,Good,normal
Rs121918011(A;A),4,Bad,hypophosphatasia
Rs121918012(G;G),0,Good,normal
Rs121918012(T;T),4,Bad,hypophosphatasia
Rs121918013(G;G),0,Good,normal
Rs121918013(A;A),4,Bad,hypophosphatasia
Rs121918014(A;A),0,Good,normal
Rs121918014(G;G),4,Bad,hypophosphatasia
Rs121918015(C;C),0,Good,normal
Rs121918015(T;T),4,Bad,hypophosphatasia
Rs121918016(G;G),0,Good,normal
Rs121918016(A;A),4,Bad,hypophosphatasia
Rs121918017(G;G),0,Good,normal
Rs121918017(A;A),4,Bad,hypophosphatasia
Rs121918018(G;G),0,Good,normal
Rs121918018(T;T),4,Bad,hypophosphatasia
Rs121918019(G;G),0,Good,normal
Rs121918019(A;A),4,Bad,hypophosphatasia
Rs121918020(C;C),0,Good,normal
Rs121918020(T;T),4,Bad,hypophosphatasia
Rs121918021(T;T),0,Good,common in clinvar
Rs121918022(G;G),0,Good,common in clinvar
Rs121918023(G;G),0,Good,common in clinvar
Rs121918024(G;G),0,Good,common in clinvar
Rs121918025(G;G),0,Good,common in clinvar
Rs121918026(A;A),0,Good,common in clinvar
Rs121918027(G;G),0,Good,common in clinvar
Rs121918028(G;G),0,Good,common in clinvar
Rs121918029(T;T),0,Good,common in clinvar
Rs121918030(G;G),0,Good,common in clinvar
Rs121918031(G;G),0,Good,common in clinvar
Rs121918032(G;G),0,Good,common in clinvar
Rs121918033(G;G),0,Good,common in clinvar
Rs121918034(AAG;AAG),0,Good,common in clinvar
Rs121918035(A;A),0,Good,common in clinvar
Rs121918036(A;A),0,Good,common in clinvar
Rs121918037(T;T),0,Good,common in clinvar
Rs121918038(T;T),0,Good,common in clinvar
Rs121918039(G;G),0,Good,common in clinvar
Rs121918040(C;C),0,Good,common in clinvar
Rs121918041(C;C),0,Good,common in clinvar
Rs121918042(C;C),0,Good,common in clinvar
Rs121918043(A;A),0,Good,common in clinvar
Rs121918044(T;T),0,Good,common in clinvar
Rs121918045(G;G),0,Good,common in clinvar
Rs121918046(C;C),0,Good,common in clinvar
Rs121918047(G;G),0,Good,common in clinvar
Rs121918048(C;C),0,Good,common in clinvar
Rs121918049(G;G),0,Good,common in clinvar
Rs121918050(A;A),0,Good,common in clinvar
Rs121918051(G;G),0,Good,common in clinvar
Rs121918052(G;G),0,Good,common in clinvar
Rs121918053(C;C),0,Good,common in clinvar
Rs121918054(G;G),0,Good,common in clinvar
Rs121918055(G;G),0,Good,common in clinvar
Rs121918056(C;C),0,Good,common in clinvar
Rs121918057(G;G),0,Good,common in clinvar
Rs121918058(G;G),0,Good,common in clinvar
Rs121918059(C;C),0,Good,common in clinvar
Rs121918060(C;C),0,Good,common in clinvar
Rs121918061(A;A),0,Good,common in clinvar
Rs121918062(G;G),0,Good,common in clinvar
Rs121918063(T;T),0,Good,common in clinvar
Rs121918064(C;C),0,Good,common in clinvar
Rs121918065(C;C),0,Good,common in clinvar
Rs121918066(G;G),0,Good,common in clinvar
Rs121918067(A;A),0,Good,common in clinvar
Rs121918068(T;T),0,Good,common in clinvar
Rs121918069(T;T),0,Good,common in clinvar
Rs121918070(A;A),0,Good,common in clinvar
Rs121918070(G;G),4,Bad,TTR-related familial amyloid polyneuropathy
Rs121918071(C;C),0,Good,common in clinvar
Rs121918072(T;T),0,Good,common in clinvar
Rs121918073(C;C),0,Good,common in clinvar
Rs121918074(C;C),0,Good,common in clinvar
Rs121918075(A;A),0,Good,common in clinvar
Rs121918076(T;T),0,Good,common in clinvar
Rs121918077(G;G),0,Good,common in clinvar
Rs121918078(G;G),0,Good,common in clinvar
Rs121918079(T;T),0,Good,common in clinvar
Rs121918080(G;G),0,Good,common in clinvar
Rs121918081(A;A),0,Good,common in clinvar
Rs121918082(G;G),0,Good,common in clinvar
Rs121918083(T;T),0,Good,common in clinvar
Rs121918084(T;T),0,Good,common in clinvar
Rs121918085(A;A),0,Good,common in clinvar
Rs121918086(G;G),0,Good,common in clinvar
Rs121918087(C;C),0,Good,common in clinvar
Rs121918088(T;T),0,Good,common in clinvar
Rs121918089(A;A),0,Good,common in clinvar
Rs121918090(G;G),0,Good,common in clinvar
Rs121918091(T;T),0,Good,common in clinvar
Rs121918092(C;C),0,Good,common in clinvar
Rs121918093(G;G),0,Good,common in clinvar
Rs121918094(T;T),0,Good,common in clinvar
Rs121918095(G;G),0,Good,common in clinvar
Rs121918096(GTC;GTC),0,Good,common in clinvar
Rs121918097(G;G),0,Good,common in clinvar
Rs121918098(A;A),0,Good,common in clinvar
Rs121918099(T;T),0,Good,common in clinvar
Rs121918100(T;T),0,Good,common in clinvar
Rs121918101(C;C),0,Good,common in clinvar
Rs121918102(G;G),0,Good,common in clinvar
Rs121918103(C;C),0,Good,common in clinvar
Rs121918104(G;G),0,Good,common in clinvar
Rs121918105(G;G),0,Good,common in clinvar
Rs121918106(A;A),0,Good,common in clinvar
Rs121918107(A;A),0,Good,common in clinvar
Rs121918108(T;T),0,Good,common in clinvar
Rs121918109(C;C),0,Good,common in clinvar
Rs121918110(T;T),0,Good,common in clinvar
Rs121918111(G;G),0,Good,common in clinvar
Rs121918112(A;A),0,Good,common in clinvar
Rs121918113(C;C),0,Good,common in clinvar
Rs121918114(C;C),0,Good,common in clinvar
Rs121918115(C;C),0,Good,common in clinvar
Rs121918116(G;G),0,Bad,normal
Rs121918117(G;G),0,Good,common in clinvar
Rs121918118(T;T),0,Good,common in clinvar
Rs121918119(T;T),0,Good,common in clinvar
Rs121918120(C;C),0,Good,common in clinvar
Rs121918121(A;A),0,Good,common in clinvar
Rs121918122(G;G),0,Good,common in clinvar
Rs121918123(T;T),0,Good,common in clinvar
Rs121918124(G;G),0,Good,common in clinvar
Rs121918125(C;C),0,Good,common in clinvar
Rs121918126(G;G),0,Good,common in clinvar
Rs121918127(C;C),0,Good,common in clinvar
Rs121918128(G;G),0,Good,common in clinvar
Rs121918129(G;G),0,Good,common in clinvar
Rs121918130(C;C),0,Good,common in clinvar
Rs121918131(C;C),0,Good,common in clinvar
Rs121918132(C;C),0,Good,common in clinvar
Rs121918133(C;C),0,Good,common in clinvar
Rs121918134(G;G),0,Good,common in clinvar
Rs121918135(G;G),0,Good,common in clinvar
Rs121918136(T;T),0,Good,common in clinvar
Rs121918137(T;T),0,Good,common in clinvar
Rs121918138(C;C),0,Good,common in clinvar
Rs121918139(T;T),0,Good,common in clinvar
Rs121918140(G;G),0,Good,common in clinvar
Rs121918141(C;C),0,Good,common in clinvar
Rs121918141(T;T),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918142(G;G),0,Good,common in clinvar
Rs121918142(C;C),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918143(C;C),0,Good,common in clinvar
Rs121918143(T;T),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918144(C;C),0,Good,common in clinvar
Rs121918144(T;T),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918145(C;C),0,Good,common in clinvar
Rs121918145(T;T),7,Bad,Protein-C deficiency; autosomal recessive
Rs121918146(G;G),0,Good,common in clinvar
Rs121918146(A;A),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918147(G;G),0,Good,common in clinvar
Rs121918147(A;A),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918148(A;A),0,Good,common in clinvar
Rs121918148(C;C),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918149(G;G),0,Good,common in clinvar
Rs121918149(A;A),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918150(G;G),0,Good,common in clinvar
Rs121918150(A;A),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918151(C;C),0,Good,common in clinvar
Rs121918151(T;T),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918152(C;C),0,Good,common in clinvar
Rs121918152(T;T),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918153(G;G),0,Good,common in clinvar
Rs121918153(A;A),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918154(C;C),0,Good,common in clinvar
Rs121918154(T;T),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918155(G;G),0,Good,common in clinvar
Rs121918155(C;C),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918156(C;C),0,Good,common in clinvar
Rs121918156(T;T),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918157(C;C),0,Good,common in clinvar
Rs121918157(G;G),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918158(G;G),0,Good,common in clinvar
Rs121918158(A;A),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918159(A;A),0,Good,common in clinvar
Rs121918159(C;C),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918160(C;C),0,Good,common in clinvar
Rs121918160(T;T),9,Bad,Complete protein-C deficiency; severe thrombophilia
Rs121918161(C;C),0,Good,common in clinvar
Rs121918162(G;G),0,Good,common in clinvar
Rs121918163(G;G),0,Good,common in clinvar
Rs121918164(C;C),0,Good,common in clinvar
Rs121918165(C;C),0,Good,common in clinvar
Rs121918166(G;G),0,Good,common in clinvar
Rs121918167(C;C),0,Good,common in clinvar
Rs121918168(C;C),0,Good,common in clinvar
Rs121918169(G;G),0,Good,common in clinvar
Rs121918170(A;A),0,Good,common in clinvar
Rs121918171(G;G),0,Good,common in clinvar
Rs121918172(C;C),0,Good,common in clinvar
Rs121918173(C;C),0,Good,common in clinvar
Rs121918174(C;C),0,Good,common in clinvar
Rs121918175(C;C),0,Good,common in clinvar
Rs121918176(C;C),0,Good,common in clinvar
Rs121918177(C;C),0,Good,common in clinvar
Rs121918178(A;A),0,Good,common in clinvar
Rs121918179(G;G),0,Good,common in clinvar
Rs121918180(G;G),0,Good,common in clinvar
Rs121918181(C;C),0,Good,common in clinvar
Rs121918182(G;G),0,Good,common in clinvar
Rs121918183(G;G),0,Good,common in clinvar
Rs121918184(G;G),0,Good,common in clinvar
Rs121918185(C;C),0,Good,common in clinvar
Rs121918186(C;C),0,Good,common in clinvar
Rs121918187(G;G),0,Good,common in clinvar
